антитимошенківський,1:abst&conc:hum,
антитрампівський,1:abst&conc:hum,
антитроцькістський,1:abst&conc:hum,
антитурецький,1:abst,
антиугорський,1:abst,
антифінський,1:abst,
антифранцузький,1:abst,
антихорватський,1:abst,
антихусейнівський,1:abst&conc:hum,
античеченський,1:abst,
антиюгославський,1:abst,
антиющенківський,1:abst&conc:hum,
антияпонський,1:abst,
Антігонин,1:poss&conc:hum,
антігуанський,1:abst,
антільський,1:abst,
антіохійський,1:abst,
антоненківський,1:abst&conc:loc,
Антонидин,1:poss&conc:hum,
антоничівський,1:abst&conc:hum,
Антонів,1:poss&conc:hum,
антонівський,1:abst&conc:loc,
Антоніїв,1:poss&conc:hum,
Антонінин,1:poss&conc:hum,
антоновецький,1:abst&conc:loc,
антоновицький,1:abst&conc:loc,
антоновський,1:abst&conc:hum,
антоно-ковацький,1:abst&conc:loc,
антонопільський,1:abst&conc:loc,
антонюківський,1:abst&conc:loc,
антопільський,1:abst&conc:loc,
Антосів,1:poss&conc:hum,
антрацитівський,1:abst&conc:loc,
антрацитський,1:abst&conc:loc,
Анфісин,1:poss&conc:hum,
анциполівський,1:abst&conc:loc,
апеннінський,1:abst,
Аполлінаріїв,1:poss&conc:hum,
Аполлінаріїн,1:poss&conc:hum,
Аполлонів,1:poss&conc:hum,
аполлонівський,1:abst&conc:loc,
аполянський,1:abst&conc:loc,
апостолівський,1:abst&conc:loc,
апшеронський,1:abst,
Арабатська,1:abst&conc:loc,
арабський,1:abst,
аравацький,1:abst,
аравійський,1:abst,
арагонський,1:abst,
аральський,1:abst,
арамейський,1:abst,
арапівський,1:abst&conc:loc,
аратський,1:abst,
арауканський,1:abst:lang,
арафатівський,1:abst&conc:hum,
арбатський,1:abst,
арбузинський,1:abst&conc:loc,
арбузівський,1:abst&conc:loc,
аргентинський,1:abst,
Ардаліонів,1:poss&conc:hum,
арданівський,1:abst&conc:loc,
арендальський,1:abst,
арзамаський,1:abst,
аризонський,1:abst,
Аристархів,1:poss&conc:hum,
Аристидів,1:poss&conc:hum,
аристівський,1:abst&conc:loc,
аристотелевський,1:abst&conc:hum,
аристотелів,1:abst&conc:hum,
аристотелівський,1:abst&conc:hum,
Аріаднин,1:poss&conc:hum,
арізонський,1:abst,
Арістотелів,1:poss&conc:hum,
арістотелівський,1:abst&conc:hum,
аркадівський,1:abst&conc:loc,
аркадієвецький,1:abst&conc:loc,
Аркадіїв,1:poss&conc:hum,
аркадіївський,1:abst&conc:loc,
Аркадіїн,1:poss&conc:hum,
арктичний,1:abst,
аркушинський,1:abst&conc:loc,
Арламівська,1:abst&conc:loc,
арламівсько-волянський,1:abst&conc:loc,
арлекінський,1:abst&conc:hum,
Арменів,1:poss&conc:hum,
армянський,1:abst&conc:loc,
арнаутський,1:abst,
Арнольдів,1:poss&conc:hum,
ароматневський,1:abst&conc:loc,
ароматнівський,1:abst&conc:loc,
Арсенів,1:poss&conc:hum,
арсенівський,1:abst&conc:loc,
Арсеніїв,1:poss&conc:hum,
