Column1,Column2,Column3
Ана-Юрт,1:conc:loc,
Анадир,1:conc:loc,:xp1
Анадир,1:conc:loc,:xp2
Анадоли,1:conc:loc,
Анадоль,1:conc:loc,
Анадій,1:conc:hum,
Анаконда,1:conc:loc,
Анаксагор,1:conc:hum,
Анаксімандр,1:conc:hum,
Анаксімен,1:conc:hum,
Анан,1:conc:hum,
Ананд,1:conc:hum,
Ананко,1:conc:hum,
Ананурі,1:conc:loc,
Ананченко,1:conc:hum,
Ананьєв,1:conc:hum,
Ананьїв,1:conc:loc,
Ананьївка,1:conc:loc,
Ананьївщина,1:conc:loc,
Ананій,1:conc:hum,
Анапа,1:conc:loc,
Анастас,1:conc:hum,
Анастасівка,1:conc:loc,
Анастасій,1:conc:hum,
Анастасія,1:conc:hum,
Анатичук,1:conc:hum,
Анатоль,1:conc:hum,
Анатолівка,1:conc:loc,
Анатолій,1:conc:hum,
Анатолія,1:conc:hum,
Анатолія,1:conc:loc,
Анахайм,1:conc:loc,
Анаїс,1:conc:hum,
Анвар,1:conc:hum,
Ангара,1:conc:loc,
Ангарськ,1:conc:loc,
Ангела,1:conc:hum,
Ангелопулос,1:conc:hum,
Ангелівка,1:conc:loc,
Ангелік,1:conc:hum,
Ангеліка,1:conc:hum,
Ангеліна,1:conc:hum,
Ангелінівка,1:conc:loc,
Англія,1:conc:loc,
Ангола,1:conc:loc,
Ангстрем,1:conc:hum,
Ангулем,1:conc:loc,:xp1
Ангулем,1:conc:loc,:xp2
Ангус,1:conc:hum,
Ангілья,1:conc:loc,
Андалузія,1:conc:loc,
Андалусія,1:conc:loc,
Андерлехт,1:conc:loc,
Андерс,1:conc:hum,
Андерсен,1:conc:hum,
Андерсон,1:conc:hum,
Андерсон,1:conc:loc,
Андерш,1:conc:hum,
Анджей,1:conc:hum,
Анджела,1:conc:hum,
Анджело,1:conc:hum,
Анджеліна,1:conc:hum,
Андзолето,1:conc:hum,
Анди,1:conc:loc,
Андижан,1:conc:loc,
Андон,1:conc:hum,
Андорра,1:conc:loc,
Андраші,1:conc:hum,
Андре,1:conc:hum,
Андреа,1:conc:hum,
Андреас,1:conc:hum,
Андреасян,1:conc:hum,
Андрей,1:conc:hum,
Андрейко,1:conc:hum,
Андрейків,1:conc:hum,
Андрейченко,1:conc:hum,
Андрейчук,1:conc:hum,
Андреківське,1:conc:loc,
Андренки,1:conc:loc,
Андренко,1:conc:hum,
Андреотті,1:conc:hum,
Андрес,1:conc:hum,
Андресюк,1:conc:hum,
Андрея,1:conc:hum,
Андреєв,1:conc:hum,
Андреєвс,1:conc:hum,
Андромаха,1:conc:hum,
Андромеда,1:conc:hum,
Андрон,1:conc:hum,
Андронаті,1:conc:hum,
Андроник,1:conc:hum,
Андроники,1:conc:loc,
Андронов,1:conc:hum,
Андронівка,1:conc:loc,
Андронік,1:conc:hum,
Андронікашвілі,1:conc:hum,
Андропов,1:conc:hum,
Андросенко,1:conc:hum,
Андросов,1:conc:hum,
Андросове,1:conc:loc,
Андросович,1:conc:hum,
