# Іменники
# !noun

# з тегами

Ігоре Ігор noun:anim:m:v_kly:prop:fname:bad
біоматері біомати noun:anim:f:v_dav
біоматір біомати noun:anim:f:v_zna
біоматір'ю біомати noun:anim:f:v_oru
біоматері біомати noun:anim:f:v_mis
біоматері біомати noun:anim:p:v_naz/v_kly
біоматерів біомати noun:anim:p:v_rod
біоматерям біомати noun:anim:p:v_dav
біоматерів біомати noun:anim:p:v_zna
біоматерями біомати noun:anim:p:v_oru
біоматерях біомати noun:anim:p:v_mis

чоботи чобіт noun:p:v_naz/v_zna/v_kly
чобіт чобіт noun:p:v_rod
чоботам чобіт noun:p:v_dav
чоботям чобіт noun:p:v_dav
чобітьми чобіт noun:p:v_oru
чоботами чобіт noun:p:v_oru
чоботями чобіт noun:p:v_oru
чоботах чобіт noun:p:v_mis
чоботях чобіт noun:p:v_mis

горщок горщок noun:m:v_naz/v_zna/v_kly
горшка горщок noun:m:v_rod
горшку горщок noun:m:v_dav/v_mis
горшкові горщок noun:m:v_dav
горшком горщок noun:m:v_oru
горшки горщок noun:inanim:p:v_naz
горшків горщок noun:inanim:p:v_rod
горшкам горщок noun:inanim:p:v_dav
горшки горщок noun:inanim:p:v_zna
горшками горщок noun:inanim:p:v_oru
горшках горщок noun:inanim:p:v_mis
горшки горщок noun:inanim:p:v_kly

війя війя noun:n:v_naz/v_rod/v_zna/v_kly
війю війя noun:n:v_dav/v_mis
війям війя noun:n:v_oru
війї війя noun:n:v_mis

відом відом noun:m:v_naz/v_zna/v_kly:rare
відома відом noun:m:v_rod
відому відом noun:m:v_dav:rare
відомом відом noun:m:v_oru
відомі відом noun:m:v_mis:rare

нічия нічия noun:inanim:f:v_naz
нічиєї нічия noun:inanim:f:v_rod
нічиїй нічия noun:inanim:f:v_dav
нічию нічия noun:inanim:f:v_zna
нічиєю нічия noun:inanim:f:v_oru
нічиїй нічия noun:inanim:f:v_mis
нічия нічия noun:inanim:f:v_kly
нічиї нічия noun:inanim:p:v_naz
нічиїх нічия noun:inanim:p:v_rod
нічиїм нічия noun:inanim:p:v_dav
нічиї нічия noun:inanim:p:v_zna
нічиїми нічия noun:inanim:p:v_oru
нічиїх нічия noun:inanim:p:v_mis
нічиї нічия noun:inanim:p:v_kly

сінями сіни noun:inanim:p:v_oru:ns
чоботів чобіт noun:inanim:p:v_rod:rare:ua_2019

# нестандартні леми

# люди /np3.<
люди людина noun:anim:p:v_naz
людей людина noun:anim:p:v_rod
людям людина noun:anim:p:v_dav
людей людина noun:anim:p:v_zna
людьми людина noun:anim:p:v_oru
людях людина noun:anim:p:v_mis
люди людина noun:anim:p:v_kly

першолюди першолюдина noun:anim:p:v_naz
першолюдей першолюдина noun:anim:p:v_rod
першолюдям першолюдина noun:anim:p:v_dav
першолюдей першолюдина noun:anim:p:v_zna
першолюдьми першолюдина noun:anim:p:v_oru
першолюдях першолюдина noun:anim:p:v_mis
першолюди першолюдина noun:anim:p:v_kly

кіберлюди кіберлюдина noun:anim:p:v_naz
кіберлюдей кіберлюдина noun:anim:p:v_rod
кіберлюдям кіберлюдина noun:anim:p:v_dav
кіберлюдей кіберлюдина noun:anim:p:v_zna
кіберлюдьми кіберлюдина noun:anim:p:v_oru
кіберлюдях кіберлюдина noun:anim:p:v_mis
кіберлюди кіберлюдина noun:anim:p:v_kly

антилюди антилюдина noun:anim:p:v_naz
антилюдей антилюдина noun:anim:p:v_rod
антилюдям антилюдина noun:anim:p:v_dav
антилюдей антилюдина noun:anim:p:v_zna
антилюдьми антилюдина noun:anim:p:v_oru
антилюдях антилюдина noun:anim:p:v_mis
антилюди антилюдина noun:anim:p:v_kly

надлюди надлюдина noun:anim:p:v_naz
надлюдей надлюдина noun:anim:p:v_rod
надлюдям надлюдина noun:anim:p:v_dav
надлюдей надлюдина noun:anim:p:v_zna
надлюдьми надлюдина noun:anim:p:v_oru
надлюдях надлюдина noun:anim:p:v_mis
надлюди надлюдина noun:anim:p:v_kly

пралюди пралюдина noun:anim:p:v_naz
пралюдей пралюдина noun:anim:p:v_rod
пралюдям пралюдина noun:anim:p:v_dav
пралюдей пралюдина noun:anim:p:v_zna
пралюдьми пралюдина noun:anim:p:v_oru
пралюдях пралюдина noun:anim:p:v_mis
пралюди пралюдина noun:anim:p:v_kly

протолюди протолюдина noun:anim:p:v_naz
протолюдей протолюдина noun:anim:p:v_rod
протолюдям протолюдина noun:anim:p:v_dav
протолюдей протолюдина noun:anim:p:v_zna
протолюдьми протолюдина noun:anim:p:v_oru
протолюдях протолюдина noun:anim:p:v_mis
протолюди протолюдина noun:anim:p:v_kly

напівлюди напівлюдина noun:anim:p:v_naz
напівлюдей напівлюдина noun:anim:p:v_rod
напівлюдям напівлюдина noun:anim:p:v_dav
напівлюдей напівлюдина noun:anim:p:v_zna
напівлюдьми напівлюдина noun:anim:p:v_oru
напівлюдях напівлюдина noun:anim:p:v_mis
напівлюди напівлюдина noun:anim:p:v_kly

# боголюди /np3.<
боголюди боголюдина noun:anim:p:v_naz
боголюдей боголюдина noun:anim:p:v_rod
боголюдям боголюдина noun:anim:p:v_dav
боголюдей боголюдина noun:anim:p:v_zna
боголюдьми боголюдина noun:anim:p:v_oru
боголюдях боголюдина noun:anim:p:v_mis
боголюди боголюдина noun:anim:p:v_kly

хазяї хазяїн noun:anim:p:v_naz:ns
хазяїв хазяїн noun:anim:p:v_rod:ns
хазяям хазяїн noun:anim:p:v_dav:ns
хазяїв хазяїн noun:anim:p:v_zna:ns
хазяями хазяїн noun:anim:p:v_oru:ns
хазяях хазяїн noun:anim:p:v_mis:ns
хазяї хазяїн noun:anim:p:v_kly:ns

# діти /np3.<
діти дитина noun:anim:p:v_naz
дітей дитина noun:anim:p:v_rod
дітям дитина noun:anim:p:v_dav
дітей дитина noun:anim:p:v_zna
дітьми дитина noun:anim:p:v_oru
дітях дитина noun:anim:p:v_mis
діти дитина noun:anim:p:v_kly


дівчата дівчина noun:anim:p:v_naz
дівчат дівчина noun:anim:p:v_rod
дівчатам дівчина noun:anim:p:v_dav
дівчат дівчина noun:anim:p:v_zna
дівчатами дівчина noun:anim:p:v_oru
дівчатах дівчина noun:anim:p:v_mis
дівчата дівчина noun:anim:p:v_kly


кабельтови кабельтов noun:inanim:p:v_naz/v_zna
кабельтових кабельтов noun:inanim:p:v_rod
кабельтовим кабельтов noun:inanim:p:v_dav
кабельтовими кабельтов noun:inanim:p:v_oru
кабельтових кабельтов noun:inanim:p:v_mis
кабельтови кабельтов noun:inanim:p:v_kly


